-1473, 242, 1976
-1364, 271, 1998
-1006, 308, 1870
-605, 228, 1597
-605, 228, 1597
-83, 123, 1391
690, 42, 1016
1164, -43, 695
1285, 17, 696
1149, 33, 536
952, 137, 771
952, 137, 771
868, 143, 967
900, 105, 1027
923, 69, 868
944, 37, 685
944, 37, 685
976, 28, 666
-,-,-
-115, 25, 1498
-1214, -250, 1161
-1631, -109, 1362
-1109, 10, 1494
-1246, -168, 1931
-1225, -121, 1998
-733, -72, 1988
-138, -45, 1674
446, -64, 1286
718, -113, 1061
956, -95, 753
1152, -86, 647
1207, -57, 710
1247, -53, 773
1059, -23, 807
1059, -23, 807
940, -18, 644
937, -32, 676
855, -52, 542
1048, -1, 308
-,-,-
-519, 42, 892
-810, -72, 1092
-916, -129, 1537
-696, -106, 1805
-547, -222, 1968
-867, -291, 1998
-791, -161, 1998
-614, -58, 1998
-207, 32, 1998
136, 98, 1870
136, 98, 1870
441, 191, 1362
791, 300, 952
923, 255, 763
999, 152, 667
908, 206, 487
908, 206, 487
791, 225, 269
1002, 134, 259
1103, 23, 486
1127, -39, 939
1139, -33, 1267
1030, -20, 1303
-,-,-
-605, 16, 954
-826, -63, 992
-1332, 21, 998
-1249, 112, 1553
-1124, 159, 1995
-1377, 159, 1998
-1377, 271, 1998
-1530, 336, 1998
-1140, 282, 1998
-267, 243, 1998
326, 159, 1997
655, 175, 1711
1013, 177, 1366
1286, 161, 980
1337, 234, 851
1190, 198, 628
945, 213, 601
945, 213, 601
768, 180, 631
853, 114, 622
881, 68, 538
813, 66, 431
813, 66, 431
836, 134, 462
-,-,-
-1813, 313, 1513
-1798, 395, 1813
-1226, 404, 1998
-732, 362, 1998
-732, 362, 1998
-272, 353, 1998
243, 393, 1998
659, 351, 1719
999, 270, 1228
979, 255, 819
849, 279, 749
1014, 246, 659
1014, 246, 659
1159, 170, 689
1278, 140, 714
1191, 62, 563
1061, 25, 490
893, -3, 382
893, -3, 382
796, 122, 434
593, 188, 526
-,-,-
-685, 40, 1092
-1188, -173, 1081
-1388, -60, 1448
-1201, 205, 1884
-1112, 305, 1998
-1256, 375, 1998
-855, 390, 1804
-251, 388, 1598
400, 344, 1305
959, 146, 1236
1389, 51, 1249
1453, 33, 1142
1453, 33, 1142
1306, 57, 1031
1147, 70, 795
1177, 62, 565
1189, 45, 588
962, 38, 726
962, 38, 726
879, 72, 731
865, 154, 692
1085, 236, 647
-,-,-
-207, 33, 1035
-573, -140, 970
-1235, -101, 978
-1345, 170, 1413
-1441, 313, 1983
-1241, 358, 1998
-953, 444, 1997
-478, 434, 1590
236, 308, 1051
236, 308, 1051
573, 280, 817
826, 267, 1037
1099, 80, 1204
1243, -91, 1160
1328, -89, 927
1206, -60, 714
1034, -27, 627
1034, -27, 627
858, 3, 604
780, 38, 661
692, 37, 847
717, 58, 848
-,-,-
-772, 54, 829
-1141, -81, 696
-917, 117, 1014
-916, 328, 1406
-1178, 494, 1925
-1386, 466, 1998
-1386, 466, 1998
-1172, 460, 1998
-908, 511, 1998
-490, 386, 1916
117, 258, 1450
645, 207, 1089
862, 116, 1069
778, 71, 855
731, 61, 543
731, 61, 543
1059, 70, 382
1234, 28, 438
1258, -9, 580
1136, -5, 713
1136, -5, 713
942, -22, 645
955, 82, 580
-,-,-
32, -184, 286
-658, -163, 120
-1252, -58, 660
-1448, 355, 1925
-1981, 689, 1998
-1998, 965, 1998
-1884, 1055, 1998
-617, 1008, 1998
550, 741, 1263
948, 541, 572
1456, 419, 660
1905, 229, 909
1974, 229, 495
1974, -12, 495
1768, -39, 304
1499, -45, 281
1188, -90, 533
983, -137, 733
901, -153, 781
787, -149, 763
-,-,-
-903, 417, 1494
-1920, 431, 1866
-1998, 514, 1673
-1644, 969, 1964
-963, 821, 1998
-712, 609, 1998
78, 538, 1425
78, 538, 1425
938, 379, 498
1555, 284, 634
1558, 115, 1347
1534, 72, 1417
1626, 59, 842
1749, 25, 349
1749, 25, 349
1772, -103, 203
1652, -163, 338
1432, -123, 518
1211, -54, 613
906, -41, 664
916, 138, 625
-,-,-
-895, 139, 1167
-1339, 46, 1371
-1181, 142, 1712
-1184, 395, 1998
-1718, 488, 1998
-1722, 583, 1998
-1113, 610, 1851
-113, 572, 1023
701, 380, 850
1279, 258, 999
1322, 229, 848
1322, 229, 848
1127, 356, 684
1173, 333, 540
1471, 176, 502
1603, -15, 483
1541, -90, 486
1403, -72, 703
1268, -19, 841
1268, -19, 841
1033, 27, 1050
817, 127, 1247
-,-,-
-1260, -94, 1439
-1550, -63, 1352
-1703, 348, 1838
-1984, 524, 1998
-1946, 479, 1998
-1130, 586, 1481
54, 619, 610
667, 475, 988
1188, 231, 1487
1188, 231, 1487
1558, 29, 1358
1644, 16, 769
1706, -4, 336
1738, -74, 147
1718, -67, 311
1465, -40, 512
1276, -25, 689
1276, -25, 689
1195, -28, 845
1138, 34, 907
953, 20, 866
1016, -48, 763
-,-,-
-642, 28, 1018
-598, 90, 1266
-821, 162, 1480
-1611, 266, 1653
-1973, 369, 1726
-1458, 548, 1995
-615, 477, 1982
284, 431, 1534
284, 431, 1534
982, 354, 823
1239, 260, 652
1375, 187, 892
1430, 65, 1006
1412, 15, 977
1437, -9, 774
1437, -9, 774
1343, -18, 678
1149, 17, 655
989, 33, 643
854, 70, 710
854, 70, 710
-,-,-
-685, 193, 1512
-1328, 136, 1366
-1991, 49, 1319
-1998, 276, 1852
-1869, 685, 1998
-754, 713, 1998
-83, 692, 1906
654, 602, 907
1111, 459, 535
1111, 459, 680
1617, 235, 680
1960, 161, 1040
1673, 137, 883
1438, 123, 633
1211, 182, 459
956, 161, 484
947, 91, 575
947, 91, 575
879, 23, 610
893, 12, 588
-,-,-
-311, 99, 1417
-793, 47, 1396
-1520, -61, 1949
-1998, 117, 1998
-1566, 434, 1998
-1210, 524, 1998
-965, 483, 1998
-305, 554, 1688
340, 669, 949
648, 684, 923
925, 626, 671
925, 626, 671
1628, 433, 140
1779, 233, 47
1881, 144, 379
1663, -1, 665
1388, 17, 653
1388, 17, 653
1189, 112, 636
896, 201, 751
683, 218, 798
-,-,-
-1423, 29, 1505
-1423, 29, 1505
-1374, 177, 1956
-1908, 318, 1875
-1961, 455, 1969
-1347, 583, 1998
-792, 662, 1946
-352, 792, 1421
374, 707, 1193
1347, 445, 1083
1724, 371, 759
1703, 312, 195
1673, 272, 56
1619, 149, 394
1619, 149, 394
1487, 73, 510
1342, 27, 612
1144, 3, 741
998, 69, 799
998, 69, 799
-,-,-
-336, 22, 684
-711, 142, 1109
-1381, 123, 1871
-1431, 280, 1998
-1560, 460, 1998
-1688, 485, 1998
-1040, 585, 1932
17, 552, 1743
17, 552, 1743
713, 396, 1402
1008, 369, 930
1099, 435, 669
1054, 391, 351
1191, 299, 265
1367, 163, 313
1367, 163, 313
1383, 98, 345
1263, 79, 433
1109, 52, 525
979, 50, 544
1104, 177, 807
-,-,-
-912, 17, 1740
-825, 67, 1195
-1184, 100, 1203
-1821, 457, 1908
-1967, 587, 1998
-1356, 644, 1998
-792, 626, 1975
56, 607, 1412
1231, 366, 646
1614, 84, 416
1614, 84, 416
1504, 69, 644
1086, 127, 800
1206, 82, 788
1463, 104, 790
1526, 62, 574
1526, 62, 574
1440, 78, 446
1158, 64, 670
905, 78, 708
648, 63, 665
-,-,-
-1247, -16, 698
-1449, 235, 852
-1334, 417, 1806
-1893, 427, 1998
-1991, 523, 1998
-1404, 622, 1998
-135, 692, 1981
581, 477, 1468
581, 477, 1468
1231, 388, 699
1430, 305, 94
1365, 294, 100
984, 320, 708
1060, 208, 590
1325, 128, 488
1325, 128, 488
1532, 83, 245
1453, 12, 73
1199, 33, 265
930, 85, 614
-,-,-
-882, 73, 1081
-1273, 213, 1108
-1862, 301, 1455
-1831, 277, 1804
-962, 302, 1953
-1110, 253, 1998
-794, 325, 1998
117, 497, 1739
733, 467, 954
1151, 361, 808
1151, 361, 808
