370, 1470, 1998
163, 1863, 1998
-482, 1990, 1998
-979, 1994, 1998
-1115, 1956, 1988
-597, 1997, 1726
-168, 1997, 1886
-39, 1997, 1991
-57, 1979, 1673
-57, 1979, 1673
233, 1767, 760
375, 1119, 313
-,-,-
-100, -460, 628
-112, -465, 752
-72, -549, 649
242, -725, 600
1041, -1290, -183
1852, -1929, -1617
1998, -1932, -1997
1998, -1042, -1786
1997, 459, 546
913, 1810, 1983
-562, 1997, 1998
-964, 1997, 1998
-1254, 1997, 1998
-1496, 1997, 1998
-1685, 1997, 1998
-1307, 1997, 1998
-287, 1997, 1998
362, 1997, 1606
287, 1877, 1293
193, 1521, 905
224, 1015, 296
-,-,-
190, -640, 313
190, -640, 313
132, -864, -8
752, -1303, -990
1758, -1658, -1959
1998, -1138, -1997
1998, -83, -1920
1415, 1103, 827
127, 1661, 1998
27, 1787, 1998
-345, 1870, 1998
-1053, 1720, 1998
-1296, 1617, 1998
-1203, 1313, 1998
-825, 1058, 1998
260, 1031, 1902
-599, 1146, 1357
619, 1497, 1227
-,-,-
125, -564, 537
-13, -709, 377
-43, -901, 304
375, -1343, -316
1333, -1914, -990
1998, -1920, -1525
1998, -1444, -1686
1998, -355, -486
1625, 1050, 1070
21, 1938, 1412
-654, 1997, 1359
-523, 1997, 1900
-815, 1992, 1998
-1248, 1757, 1998
-1232, 1476, 1998
-802, 1405, 1998
-297, 1326, 1998
213, 1486, 1998
343, 1528, 1992
384, 1679, 1592
384, 1679, 1592
117, 1664, 1049
-141, 1477, 742
-43, 1052, 526
130, 481, 444
115, -260, 490
-,-,-
151, -506, 460
252, -516, -210
350, -1175, -1088
1485, -1576, -1786
1998, -1555, -1997
1998, -948, -1688
1998, 176, 1034
1057, 1066, 1998
-39, 1593, 1953
-465, 1836, 1989
-882, 1895, 1998
-1076, 1871, 1998
-1105, 1834, 1889
-889, 1861, 1875
-521, 1867, 1998
-268, 1898, 1998
-183, 1909, 1992
-228, 1795, 1673
-160, 1545, 1245
207, 1188, 794
170, 505, 624
120, -301, 839
-,-,-
251, -551, 309
195, -703, 240
288, -1117, -315
699, -1802, -925
1838, -1998, -690
1998, -1849, -215
1991, -1163, 633
1172, -134, 901
-146, 681, 945
-318, 1260, 1051
-242, 1679, 1382
-365, 1923, 1733
-670, 1997, 1938
-812, 1997, 1998
-444, 1980, 1998
92, 1997, 1998
329, 1924, 1998
303, 1790, 1885
303, 1790, 1885
72, 1520, 1336
-5, 1155, 977
61, 568, 708
107, -233, 699
-17, -1100, 762
