-430, 964, 1998
-430, 964, 1998
-213, 1329, 1998
-528, 1544, 1896
-580, 1700, 1395
-363, 1714, 1401
248, 1669, 1702
685, 1622, 1460
751, 1575, 961
746, 1476, 434
810, 1258, 124
1067, 979, -112
1178, 622, -685
1157, 293, -1336
1018, 11, -1841
1014, -516, -1997
1314, -1120, -1698
1332, -1700, -264
1161, -1998, 1514
1230, -1998, 1831
1063, -1951, 1998
164, -1403, 1998
-421, -735, 1998
-,-,-
190, -358, 1831
-606, -24, 1998
-606, -24, 1998
-804, 557, 1998
-571, 861, 1998
-262, 1075, 1998
-322, 1309, 1998
-468, 1507, 1862
-208, 1693, 1537
351, 1776, 1281
645, 1672, 1090
847, 1533, 927
777, 1376, 637
555, 1231, 178
394, 1028, -224
500, 764, -540
500, 764, -540
658, 431, -663
769, -137, -695
829, -787, -771
906, -1505, -994
1282, -1987, -658
1636, -1998, 681
1533, -1998, 1403
771, -1998, 1270
393, -1780, 1354
152, -1121, 1692
-,-,-
103, -643, 1548
-241, -523, 1796
-68, -272, 1940
-106, -7, 1995
-438, 301, 1998
-536, 607, 1998
-421, 832, 1955
-400, 1061, 1809
-456, 1308, 1572
-422, 1547, 1241
-464, 1750, 1074
-241, 1861, 1111
482, 1746, 1015
482, 1746, 1015
846, 1522, 753
933, 1264, 374
790, 938, 73
727, 664, -169
768, 350, -330
787, -82, -239
853, -457, -92
853, -457, -92
926, -933, 15
887, -1525, -141
927, -1956, -384
1073, -1998, -196
963, -1998, 543
647, -1959, 1137
356, -1452, 1306
1, -770, 1624
-,-,-
125, -127, 1389
125, -127, 1389
-186, -234, 1013
90, 1190, 1998
-278, -45, 1951
374, 436, 1846
-31, 652, 1916
-176, 805, 1935
-333, 1024, 1998
-294, 1233, 1897
-196, 1449, 1266
-154, 1518, 722
32, 1495, 529
267, 1495, 693
267, 1335, 693
493, 1236, 592
619, 1091, -130
704, 876, -771
676, 570, -1027
592, 261, -1023
590, -51, -1117
480, -441, -1216
525, -917, -1010
938, -1428, -156
1168, -1929, 1310
1120, -1997, 1990
-,-,-
152, -301, 1020
-53, -198, 1472
-26, -63, 1724
128, 182, 1965
25, 435, 1998
-320, 646, 1998
-513, 880, 1998
-377, 1082, 1998
-210, 1277, 1946
-228, 1460, 1481
-42, 1580, 924
-42, 1580, 924
124, 1579, 697
391, 1548, 556
537, 1381, 223
413, 1102, -174
296, 859, -385
251, 523, -341
333, 166, -250
501, -197, -326
501, -197, -326
667, -665, -322
939, -1141, -288
1160, -1648, -66
1338, -1978, 260
1630, -1998, 617
1539, -1989, 1012
1004, -1586, 1110
-,-,-
332, -316, 597
312, -92, 1427
-4, 215, 1985
-340, 445, 1908
-464, 437, 1943
-268, 581, 1998
-98, 728, 1998
-98, 728, 1998
-32, 902, 1998
-117, 1026, 1725
-156, 1116, 1472
-118, 1202, 1470
60, 1332, 1399
183, 1294, 890
410, 1252, 170
476, 1027, -226
563, 866, -228
501, 667, -135
501, 667, -135
371, 436, -303
315, 312, -810
440, -124, -1140
859, -751, -1104
890, -1582, -505
1060, -1985, 80
1306, -1998, 400
1262, -1998, 1146
794, -1915, 1565
340, -1278, 1590
-,-,-
155, -498, 1930
61, -279, 1997
-20, -2, 1998
-20, -2, 1998
219, 531, 1998
-22, 1081, 1992
-591, 1512, 1686
-683, 1765, 1292
-459, 1826, 1334
-125, 1802, 1548
115, 1841, 1504
231, 1831, 1123
280, 1728, 780
433, 1477, 558
686, 1155, 316
855, 737, 129
855, 737, 129
1082, 346, -245
1297, -80, -868
1415, -591, -1229
1322, -1172, -1305
1260, -1553, -694
1180, -1811, 106
1073, -1967, 1093
1040, -1993, 1799
650, -1727, 1998
-,-,-
319, -286, 881
66, -327, 1150
-32, -324, 1369
249, -184, 1669
206, -130, 1976
197, 130, 1998
91, 385, 1998
-262, 623, 1998
-457, 798, 1998
-457, 798, 1998
-313, 921, 1971
-147, 1109, 1676
-160, 1280, 1453
-282, 1454, 1330
-228, 1601, 963
-80, 1640, 815
-34, 1649, 915
111, 1591, 722
385, 1457, 327
690, 1237, -208
866, 907, -693
1138, 489, -968
1138, 489, -968
1229, 21, -1301
1295, -551, -1645
1430, -1237, -1239
1786, -1766, -74
1916, -1998, 835
1524, -1921, 1715
617, -1514, 1998
-,-,-
196, -570, 1423
238, -601, 1751
369, -455, 1864
196, -119, 1984
-82, 206, 1998
-82, 206, 1998
-300, 623, 1998
-408, 1128, 1998
-681, 1429, 1773
-627, 1632, 1624
-638, 1744, 1711
-366, 1825, 1467
-63, 1796, 1105
257, 1758, 873
541, 1600, 522
725, 1347, 337
893, 992, 214
1117, 683, -108
1168, 308, -602
1168, 308, -602
1016, -49, -872
888, -493, -968
971, -1171, -727
1394, -1746, -428
1501, -1998, -169
1482, -1998, 154
1087, -1998, 585
633, -1683, 1351
-,-,-
203, -765, 666
23, -849, 901
108, -658, 1525
408, -336, 1990
209, 48, 1998
-256, 551, 1998
-256, 551, 1998
-633, 923, 1998
-683, 1093, 1998
-512, 1297, 1998
-453, 1558, 1798
-399, 1753, 1403
-358, 1806, 1121
-268, 1795, 881
-4, 1654, 752
455, 1476, 361
683, 1243, -262
779, 929, -550
835, 543, -373
896, 130, -327
896, 130, -327
932, -329, -437
1031, -788, -239
1169, -1281, -129
1330, -1806, 33
1343, -1998, 466
1304, -1998, 801
1278, -1968, 1021
859, -1486, 1674
226, -715, 1998
-229, 112, 1998
-488, 775, 1998
-,-,-
186, -715, 1431
184, -634, 1634
184, -634, 1634
142, -183, 1998
-163, 466, 1998
-739, 961, 1998
-853, 1254, 1998
-705, 1356, 1998
-497, 1511, 1949
-371, 1629, 1576
-231, 1708, 1220
-90, 1682, 1076
93, 1548, 899
403, 1387, 657
683, 1177, 272
857, 930, -32
857, 930, -32
1000, 685, -366
950, 387, -414
896, 188, -353
962, -36, -510
1096, -360, -614
1088, -783, -519
1179, -1348, -139
1277, -1908, 567
1167, -1998, 1176
1130, -1998, 1065
1132, -1945, 1630
706, -1255, 1998
-19, -160, 1998
-684, 864, 1998
-,-,-
-221, 46, 1346
-348, 239, 1450
-294, 591, 1816
-527, 901, 1990
-779, 1138, 1692
-945, 1349, 1607
-753, 1417, 1687
-160, 1465, 1506
80, 1466, 1375
235, 1406, 1191
463, 1289, 1014
651, 1157, 667
651, 1157, 667
712, 974, 311
663, 749, 129
767, 497, -126
945, 188, -353
1238, -131, -433
1222, -650, -477
880, -1149, -794
1018, -1550, -1057
1637, -1901, -456
1308, -1998, 560
717, -1998, 1036
736, -1616, 1225
425, -879, 1918
-25, 51, 1998
-,-,-
-171, -48, 1612
-290, 59, 1724
-234, 476, 1998
-394, 807, 1998
-796, 1043, 1966
-787, 1254, 1909
-461, 1371, 1794
-95, 1454, 1512
51, 1461, 1243
105, 1489, 904
105, 1489, 904
228, 1423, 708
524, 1340, 471
678, 1206, 137
